Rating	JobTitle	companyname	location	Estsal	Mediansal
3	Data Scientist	The Teaching Company –	"Washington, DC"	Est. Salary $82k-$117k	The median pay of $97k is:
3.3	Data Scientist	Avant –	"Chicago, IL"	Est. Salary $72k-$106k	The median pay of $88k is:
3	Data Scientist	Honeywell –	"Morris Plains, NJ"	Est. Salary $95k-$137k	The median pay of $114k is:
4	Data Scientist	Fino Consulting –	"New York, NY"	Est. Salary $98k-$149k	The median pay of $121k is:
4.1	Data Scientist - Lead Data Scientist	Freedom Financial Network –	"San Mateo, CA"	Est. Salary $81k-$116k	The median pay of $97k is:
4.1	Data Scientist	HealthTap –	"Palo Alto, CA"	Est. Salary $96k-$136k	The median pay of $113k is:
4.6	DATA SCIENTIST	Ultimate Software –	"San Francisco, CA"	Est. Salary $125k-$173k	The median pay of $146k is:
4.5	Data Scientist	Dynetics –	"Huntsville, AL"	Est. Salary $58k-$87k	The median pay of $72k is:
2.7	Data Scientist	Postmates –	"Seattle, WA"	Est. Salary $71k-$103k	The median pay of $86k is:
4	Lead Data Scientist	Glassdoor –	"Mill Valley, CA"	Est. Salary $135k-$186k	The median pay of $159k is:
3.9	Data Scientist	Brunswick Corporate –	"Fond du Lac, WI"	Est. Salary $69k-$105k	The median pay of $86k is:
4.1	"Instructor, Sr. Data Scientist"	Galvanize –	"New York, NY"	Est. Salary $108k-$157k	The median pay of $130k is:
4	Data Scientist..	Akamai –	"Santa Clara, CA"	Est. Salary $119k-$168k	The median pay of $140k is:
4.7	Senior Data Scientist	Metromile –	"San Francisco, CA"	Est. Salary $122k-$169k	The median pay of $144k is:
3.2	Data Scientist	Walmart eCommerce –	"Sunnyvale, CA"	Est. Salary $105k-$146k	The median pay of $123k is:
3.3	Lead/Senior Data Scientist	Shift Technologies –	"San Francisco, CA"	Est. Salary $144k-$201k	The median pay of $170k is:
2.9	Data Scientist	WGT Media –	"San Francisco, CA"	Est. Salary $97k-$138k	The median pay of $116k is:
4.6	Senior Data Scientist	Coffee Meets Bagel –	"San Francisco, CA"	Est. Salary $112k-$160k	The median pay of $134k is:
3	Principal Data Scientist	Honeywell –	"Morris Plains, NJ"	Est. Salary $120k-$171k	The median pay of $143k is:
3.7	Data Scientist (Hatcx)	Blue Cross and Blue Shield of Nebraska –	"Omaha, NE"	Est. Salary $74k-$110k	The median pay of $91k is:
2.9	Data Scientist	Shutterfly –	"Redwood City, CA"	Est. Salary $118k-$164k	The median pay of $138k is:
3.7	Data Scientist	Squarespace –	"New York, NY"	Est. Salary $107k-$155k	The median pay of $129k is:
3.3	Sr Data Scientist	Aetna –	"New York, NY"	Est. Salary $108k-$161k	The median pay of $133k is:
5	Senior Data Scientist	Anomali –	"Redwood City, CA"	Est. Salary $118k-$167k	The median pay of $141k is:
3.5	"MTS 1, Data Scientist"	Fanatics –	"San Mateo, CA"	Est. Salary $96k-$136k	The median pay of $115k is:
3.9	Associate Data Scientist	Brunswick Corporate –	"Rosemont, IL"	Est. Salary $70k-$105k	The median pay of $86k is:
3.2	Data Scientist	AmeriHealth Caritas –	"Philadelphia, PA"	Est. Salary $67k-$99k	The median pay of $82k is:
4.2	Data Scientist - Vista Intelligence Group	Vista Consulting Group –	"Chicago, IL"	Est. Salary $77k-$130k	The median pay of $102k is:
3.2	Data Scientist	J.B. Hunt –	"Lowell, AR"	Est. Salary $65k-$100k	The median pay of $81k is:
4.8	Data Scientist Intern CAFÉ	Health Catalyst –	"Salt Lake City, UT"	Est. Salary $77k-$110k	The median pay of $91k is:
4.6	Data Scientist	Classy –	"San Diego, CA"	Est. Salary $116k-$168k	The median pay of $139k is:
	Data Scientist	Vizual.AI –	"Baltimore, MD"		
3	Data Scientist	AllianceBernstein –	"New York, NY"		
3.5	Data Scientist	MassMutual Financial Group –	"Amherst, MA"	Est. Salary $88k-$131k	The median pay of $109k is:
3.6	Data Scientist	HERE –	"Chicago, IL"	Est. Salary $79k-$112k	The median pay of $93k is:
4.2	Data Scientist	Showpad –	"San Francisco, CA"	Est. Salary $131k-$185k	The median pay of $156k is:
3.6	Data Scientist	Cognizant Technology Solutions –	"Scottsdale, AZ"	Est. Salary $64k-$94k	The median pay of $77k is:
3.9	Data Scientist	Grant Thornton –	"Washington, DC"	Est. Salary $89k-$132k	The median pay of $109k is:
3.5	Data Scientist	Teradata –	"San Diego, CA"	Est. Salary $95k-$135k	The median pay of $112k is:
4	Data Scientist	Bonobos –	"New York, NY"	Est. Salary $103k-$156k	The median pay of $127k is:
3.7	Data Scientist	Paycom –	"Oklahoma City, OK"	Est. Salary $67k-$97k	The median pay of $80k is:
3	Data Scientist	AAOS –	"Rosemont, IL"	Est. Salary $77k-$130k	The median pay of $102k is:
4.2	Data Scientist	Johns Hopkins University Applied Physics Laboratory –	"Laurel, MD"	Est. Salary $80k-$119k	The median pay of $98k is:
3	Data Scientist	Chef'd –	"El Segundo, CA"	Est. Salary $81k-$119k	The median pay of $98k is:
4.9	Data Scientist	Datadog –	"New York, NY"	Est. Salary $105k-$150k	The median pay of $125k is:
3.2	Data Scientist	Realty One Group –	"Irvine, CA"	Est. Salary $61k-$97k	The median pay of $77k is:
3.8	Data Scientist	Login Consulting Services –	"El Segundo, CA"	Est. Salary $107k-$158k	The median pay of $131k is:
3.7	Data Scientist	Morgan Stanley –	"New York, NY"	Est. Salary $88k-$136k	The median pay of $110k is:
3	Data Scientist	"DST Systems, Inc. –"	"Kansas City, MO"	Est. Salary $75k-$114k	The median pay of $94k is:
3.8	Data Scientist	WeddingWire –	"Washington, DC"	Est. Salary $82k-$118k	The median pay of $98k is:
4.1	Data Scientist	QualStaff Resources –	"Scottsdale, AZ"		
3.4	Data Scientist	Apex Systems –	"Saint Louis, MO"		
4.5	Data Scientist	Tealium –	"San Diego, CA"	Est. Salary $106k-$150k	The median pay of $126k is:
4.3	Data Scientist	ScrapingHub –	United States	Est. Salary $51k-$76k	The median pay of $63k is:
4.1	Data Scientist	GMR Marketing –	"New Berlin, WI"	Est. Salary $70k-$106k	The median pay of $87k is:
4.2	Data Scientist	Riot Games –	"Los Angeles, CA"	Est. Salary $114k-$162k	The median pay of $137k is:
4.2	Data Scientist	Drawbridge –	"San Mateo, CA"	Est. Salary $145k-$199k	The median pay of $169k is:
3	Data Scientist-CS	Overstock.com –	"Cottonwood Heights, UT"	Est. Salary $77k-$110k	The median pay of $91k is:
5	Data Scientist	Rocket Wagon –	"Chicago, IL"	Est. Salary $65k-$105k	The median pay of $83k is:
3.7	Data Scientist (Hatcx)	Blue Cross and Blue Shield of Nebraska –	"Omaha, NE"	Est. Salary $74k-$110k	The median pay of $91k is:
3.5	Data Scientist	Analytic Partners –	"New York, NY"	Est. Salary $86k-$132k	The median pay of $108k is:
3.7	Data Scientist	Lockheed Martin –	"Shelton, CT"	Est. Salary $79k-$119k	The median pay of $97k is:
4.7	Data Scientist	Upstart Network –	"Palo Alto, CA"	Est. Salary $121k-$175k	The median pay of $145k is:
4	Data Scientist	Microsoft –	"Bellevue, WA"	Est. Salary $113k-$156k	The median pay of $133k is:
3.7	Data Scientist	Discover Financial Services –	"Riverwoods, IL"	Est. Salary $79k-$119k	The median pay of $97k is:
3.9	Data Scientist	Devon Energy –	"Oklahoma City, OK"	Est. Salary $102k-$151k	The median pay of $125k is:
3.8	Data Scientist	The Hanover Insurance Company –	"Worcester, MA"	Est. Salary $93k-$135k	The median pay of $112k is:
4.3	Data Scientist	6sense –	"San Francisco, CA"	Est. Salary $129k-$181k	The median pay of $153k is:
4	Lead Data Scientist	Glassdoor –	"Mill Valley, CA"	Est. Salary $135k-$186k	The median pay of $159k is:
4.4	Data Scientist	Gametime United –	"San Francisco, CA"	Est. Salary $89k-$128k	The median pay of $107k is:
3.9	Data Scientist	Abilto –	"New York, NY"	Est. Salary $64k-$105k	The median pay of $83k is:
4.9	Data Scientist	Covenant Eyes –	"Owosso, MI"	Est. Salary $64k-$93k	The median pay of $77k is:
4	New Grad - Data Scientist	ViaSat –	"San Diego, CA"	Est. Salary $108k-$152k	The median pay of $127k is:
3.6	Data Scientist	Clarabridge –	"Reston, VA"	Est. Salary $94k-$134k	The median pay of $112k is:
4.6	Senior Data Scientist	Coffee Meets Bagel –	"San Francisco, CA"	Est. Salary $112k-$160k	The median pay of $134k is:
3.8	Data Scientist	Devon –	"Oklahoma City, OK"	Est. Salary $92k-$144k	The median pay of $116k is:
4.6	Data Scientist	Sharethrough –	"San Francisco, CA"	Est. Salary $119k-$171k	The median pay of $143k is:
4.8	Data Scientist	Match Relevant –	"Irvine, CA"		
3.8	Data Scientist	2U –	"New York, NY"	Est. Salary $97k-$151k	The median pay of $123k is:
3.9	Data Scientist	Cray Inc. –	"Bloomington, MN"	Est. Salary $97k-$137k	The median pay of $114k is:
4.3	Data Scientist	Virginia Tech –	"Blacksburg, VA"	Est. Salary $59k-$95k	The median pay of $77k is:
3.8	Data Scientist	Deloitte –	"Arlington, VA"	Est. Salary $126k-$187k	The median pay of $154k is:
4.7	Senior Data Scientist	Metromile –	"San Francisco, CA"	Est. Salary $122k-$169k	The median pay of $144k is:
3.8	Lead Data Scientist	BCG Digital Ventures –	"Manhattan Beach, CA"	Est. Salary $139k-$197k	The median pay of $165k is:
3.4	Data Scientist	Allstate –	"Northbrook, IL"	Est. Salary $82k-$120k	The median pay of $99k is:
3.4	Lead Data Scientist	Target –	"Sunnyvale, CA"	Est. Salary $127k-$183k	The median pay of $152k is:
	Data Scientist	SpectraHire –	"Los Angeles, CA"		
4.1	Data Scientist	Optiver –	"Chicago, IL"	Est. Salary $111k-$163k	The median pay of $135k is:
5	Data Scientist	Stack Lighting –	"Cupertino, CA"	Est. Salary $93k-$135k	The median pay of $112k is:
4	Data Scientist	Pinterest –	"San Francisco, CA"	Est. Salary $139k-$194k	The median pay of $164k is:
3.6	Data Scientist	Booz Allen Hamilton –	"Saint Louis, MO"	Est. Salary $80k-$121k	The median pay of $100k is:
3.9	Data Scientist	Newsela –	"New York, NY"	Est. Salary $93k-$141k	The median pay of $115k is:
4.1	Data Scientist	University of Maryland –	"College Park, MD"	Est. Salary $67k-$106k	The median pay of $87k is:
5	Data Scientist	Stack Lighting –	"Cupertino, CA"	Est. Salary $93k-$135k	The median pay of $112k is:
	Data Scientist	SpectraHire –	"Los Angeles, CA"		
4	Data Scientist	Pinterest –	"San Francisco, CA"	Est. Salary $139k-$194k	The median pay of $164k is:
4.1	Data Scientist	Optiver –	"Chicago, IL"	Est. Salary $111k-$163k	The median pay of $135k is:
3.9	Data Scientist	Newsela –	"New York, NY"	Est. Salary $93k-$141k	The median pay of $115k is:
3.6	Data Scientist	Booz Allen Hamilton –	"Saint Louis, MO"	Est. Salary $80k-$121k	The median pay of $100k is:
5	Data Scientist	ARSENIC –	"Los Angeles, CA"	Est. Salary $92k-$153k	The median pay of $121k is:
4.1	Data Scientist	University of Maryland –	"College Park, MD"	Est. Salary $67k-$106k	The median pay of $87k is:
4.5	Data Scientist	Simpli FI –	"Fort Worth, TX"	Est. Salary $83k-$131k	The median pay of $106k is:
4.1	Data Scientist - Lead Data Scientist	Freedom Financial Network –	"San Mateo, CA"	Est. Salary $81k-$116k	The median pay of $97k is:
2.6	Data Scientist	Knowles –	"Itasca, IL"	Est. Salary $107k-$157k	The median pay of $130k is:
5	Data Scientist	Citrine Informatics –	"Redwood City, CA"	Est. Salary $97k-$138k	The median pay of $116k is:
5	Data Scientist	Affirm –	"San Francisco, CA"	Est. Salary $146k-$204k	The median pay of $174k is:
2.8	Data Scientist	"Team Industrial Services, Inc. –"	"Boulder, CO"	Est. Salary $79k-$120k	The median pay of $98k is:
4	Data Scientist	ViaSat –	"San Diego, CA"	Est. Salary $107k-$150k	The median pay of $126k is:
4.7	Data Scientist	Infer –	"Mountain View, CA"	Est. Salary $93k-$135k	The median pay of $112k is:
4.4	Data Scientist	Samba TV –	"San Francisco, CA"	Est. Salary $101k-$141k	The median pay of $119k is:
4.6	Data Scientist	Turo –	"Boston, MA"	Est. Salary $84k-$126k	The median pay of $104k is:
3.7	Data Scientist - Consultant	Clarity Insights –	"Austin, TX"	Est. Salary $104k-$147k	The median pay of $123k is:
3.9	Data Scientist	WhatsApp –	"Menlo Park, CA"	Est. Salary $96k-$136k	The median pay of $115k is:
3.8	Data Scientist	1st Merchant Funding –	"Miami, FL"	Est. Salary $72k-$109k	The median pay of $89k is:
3.3	Data Scientist	DigitalGlobe –	"Westminster, CO"	Est. Salary $86k-$123k	The median pay of $102k is:
3.8	Data Scientist	realtor.com –	"Santa Clara, CA"	Est. Salary $106k-$150k	The median pay of $126k is:
3.8	Data Scientist	Hollister Staffing –	"Boston, MA"	Est. Salary $62k-$90k	The median pay of $74k is:
4.6	Data Scientist	Duo Security –	"Austin, TX"	Est. Salary $100k-$142k	The median pay of $119k is:
4	Data Scientist	Point72 –	"New York, NY"	Est. Salary $115k-$173k	The median pay of $143k is:
2.3	Data Scientist	DuPage Medical Group –	United States	Est. Salary $53k-$81k	The median pay of $66k is:
3.4	Data Scientist	CACI International –	"Charlottesville, VA"	Est. Salary $81k-$120k	The median pay of $99k is:
	Data Scientist	The Connors Group –	United States	Est. Salary $65k-$104k	The median pay of $82k is:
4	Data Scientist	Brightwing –	"Plano, TX"	Est. Salary $68k-$104k	The median pay of $85k is:
3.1	Data Scientist	Truven Health Analytics –	"Ann Arbor, MI"	Est. Salary $84k-$124k	The median pay of $102k is:
4.4	Data Scientist	LendUp –	"San Francisco, CA"	Est. Salary $107k-$150k	The median pay of $127k is:
3.5	Junior Front-End Data Scientist	Mathematica Policy Research –	"Cambridge, MA"	Est. Salary $75k-$110k	The median pay of $92k is:
3.5	Data Scientist	Bookstores.com –	"Columbus, OH"	Est. Salary $58k-$90k	The median pay of $72k is:
3.7	Data Scientist	Harvard Pilgrim Health Care –	"Wellesley, MA"	Est. Salary $82k-$122k	The median pay of $101k is:
3.4	Data Scientist	NICE –	"Na Ah Tee, AZ"	Est. Salary $90k-$127k	The median pay of $106k is:
3.3	Data Scientist	Trunk Club –	"Chicago, IL"	Est. Salary $71k-$105k	The median pay of $87k is:
3.4	Data Scientist	Saama Technologies Inc –	"Campbell, CA"	Est. Salary $89k-$130k	The median pay of $108k is:
4.4	Data Scientist	DoorDash –	"San Francisco, CA"	Est. Salary $90k-$132k	The median pay of $109k is:
3.3	Data Scientist	Reed Elsevier Group –	"Philadelphia, PA"	Est. Salary $82k-$126k	The median pay of $102k is:
4.4	Data Scientist	Diverse Lynx –	"Chicago, IL"	Est. Salary $95k-$140k	The median pay of $115k is:
4.7	Data Scientist (Internship)	Upstart Network –	"Palo Alto, CA"	Est. Salary $82k-$121k	The median pay of $100k is:
2.9	Data Scientist	Badgeville –	"Dublin, CA"	Est. Salary $146k-$206k	The median pay of $174k is:
4.1	Data Scientist (All Levels)	Lyft –	"San Francisco, CA"	Est. Salary $113k-$157k	The median pay of $133k is:
3	Data Scientist	a2z Development Center –	"Sunnyvale, CA"	Est. Salary $130k-$189k	The median pay of $157k is:
3.3	Data Scientist	Emerald Resource Group –	"Mentor, OH"		
2.4	Data Scientist	"Carroll Enterprises, Inc. –"	"Worcester, MA"	Est. Salary $66k-$105k	The median pay of $84k is:
4.8	Data Scientist	Contineo Health –	"Martinez, CA"	Est. Salary $97k-$144k	The median pay of $119k is:
5	Data Scientist	Nexosis –	"Columbus, OH"	Est. Salary $49k-$80k	The median pay of $63k is:
	Data Scientist	Stride Search –	United States		
4	Data Scientist	Enterprise Select –	"Santa Clara, CA"	Est. Salary $93k-$143k	The median pay of $116k is:
3.4	Data Scientist	NASDAQ –	"Lakewood, CO"	Est. Salary $106k-$158k	The median pay of $131k is:
3.6	Data Scientist	National Grid USA –	"Waltham, MA"	Est. Salary $94k-$142k	The median pay of $118k is:
3.6	Data Scientist	Spokeo –	"Pasadena, CA"	Est. Salary $92k-$130k	The median pay of $109k is:
4.2	Data Scientist	Lawrence Livermore National Laboratory –	"Livermore, CA"	Est. Salary $118k-$169k	The median pay of $143k is:
4.5	Data Scientist	Sojern –	"San Francisco, CA"	Est. Salary $110k-$162k	The median pay of $134k is:
3.1	Data Scientist	Chariot Transit –	"San Francisco, CA"	Est. Salary $92k-$134k	The median pay of $111k is:
4.8	Data Scientist	Blend Labs Inc. –	"San Francisco, CA"	Est. Salary $127k-$176k	The median pay of $149k is:
4.7	Data Scientist	Sensor Tower –	"San Francisco, CA"	Est. Salary $97k-$138k	The median pay of $116k is:
4.4	Data Scientist	Tripping –	"San Francisco, CA"	Est. Salary $92k-$134k	The median pay of $111k is:
4.6	Data Scientist	Facebook –	"Menlo Park, CA"	Est. Salary $126k-$182k	The median pay of $152k is:
3.8	Data Scientist	Wargaming America –	"Austin, TX"	Est. Salary $67k-$98k	The median pay of $81k is:
	Data Scientist	Colaberry –	"Saint Louis, MO"		
2.8	"Data Scientist, Mayor's Office of Innovation"	City of Baltimore –	"Baltimore, MD"	Est. Salary $60k-$92k	The median pay of $74k is:
2	Data Scientist	Progressive –	"Mayfield Heights, Cuyahoga, OH"	Est. Salary $59k-$94k	The median pay of $75k is:
3.4	2017 Internship - Data Scientist	IBM –	"Charlotte, NC"	Est. Salary $70k-$103k	The median pay of $84k is:
4.3	Data Scientist	Wish –	"San Francisco, CA"	Est. Salary $110k-$156k	The median pay of $132k is:
4.4	Data Scientist	NEXTEV –	"San Jose, CA"	Est. Salary $98k-$140k	The median pay of $117k is:
3.2	Data Scientist	CHS –	"Clearwater, FL"	Est. Salary $58k-$88k	The median pay of $72k is:
4.4	Data Scientist	IFTTT –	"San Francisco, CA"	Est. Salary $92k-$134k	The median pay of $111k is:
3.7	Data Scientist	Intel –	"Santa Clara, CA"	Est. Salary $122k-$172k	The median pay of $143k is:
3	Data Scientist	Jawbone –	"San Francisco, CA"	Est. Salary $99k-$138k	The median pay of $117k is:
3.6	Data Scientist	Cerner –	"Kansas City, MO"	Est. Salary $59k-$91k	The median pay of $74k is:
4.3	Data Scientist	Akvelon –	"Redmond, WA"	Est. Salary $100k-$142k	The median pay of $118k is:
2.5	Data Scientist	WebMD –	"New York, NY"	Est. Salary $100k-$144k	The median pay of $120k is:
4.2	Data Scientist	Dstillery –	"New York, NY"	Est. Salary $119k-$173k	The median pay of $142k is:
4.4	"Data Scientist/Quantitative Analyst, Engineering, University Graduate"	Google –	"Boulder, CO"	Est. Salary $93k-$135k	The median pay of $112k is:
3.6	Data Scientist	Thomson Reuters –	"McLean, VA"	Est. Salary $85k-$122k	The median pay of $102k is:
4.2	Data Scientist	SAP –	"Palo Alto, CA"	Est. Salary $97k-$140k	The median pay of $116k is:
3.4	Data Scientist	Keck Medicine of USC –	"Los Angeles, CA"	Est. Salary $64k-$97k	The median pay of $79k is:
4.1	Data Scientist	Cornerstone Research –	"Menlo Park, CA"	Est. Salary $132k-$187k	The median pay of $159k is:
4.6	Data Scientist	Thumbtack –	"San Francisco, CA"	Est. Salary $124k-$172k	The median pay of $146k is:
3	Data Scientist	Outfront Media –	United States	Est. Salary $62k-$95k	The median pay of $78k is:
3	Principal Data Scientist	Honeywell –	"Morris Plains, NJ"	Est. Salary $120k-$171k	The median pay of $143k is:
4.3	Data Scientist	Taboola –	"Los Angeles, CA"	Est. Salary $112k-$158k	The median pay of $133k is:
4.7	Data Scientist	Rover –	"Seattle, WA"	Est. Salary $87k-$126k	The median pay of $104k is:
	Data Scientist	"SaveSoft, Inc –"	"San Diego, CA"	Est. Salary $89k-$148k	The median pay of $117k is:
3.1	Data Scientist	Luxe Valet –	"San Francisco, CA"	Est. Salary $105k-$150k	The median pay of $126k is:
3.9	Data Scientist	Munich RE –	"Arapahoe, CO"	Est. Salary $76k-$114k	The median pay of $94k is:
4.8	Data Scientist	Fabergent USA –	"Chicago, IL"	Est. Salary $72k-$109k	The median pay of $89k is:
4.6	Data Scientist	CKM Advisors –	"New York, NY"	Est. Salary $88k-$139k	The median pay of $112k is:
3	Data Scientist	Outfront Media –	United States	Est. Salary $62k-$95k	The median pay of $78k is:
4.6	Data Scientist	Thumbtack –	"San Francisco, CA"	Est. Salary $124k-$172k	The median pay of $146k is:
3	Principal Data Scientist	Honeywell –	"Morris Plains, NJ"	Est. Salary $120k-$171k	The median pay of $143k is:
4.3	Data Scientist	Taboola –	"Los Angeles, CA"	Est. Salary $112k-$158k	The median pay of $133k is:
3.1	Data Scientist	Luxe Valet –	"San Francisco, CA"	Est. Salary $105k-$150k	The median pay of $126k is:
4.7	Data Scientist	Rover –	"Seattle, WA"	Est. Salary $87k-$126k	The median pay of $104k is:
3.9	Data Scientist	Munich RE –	"Arapahoe, CO"	Est. Salary $76k-$114k	The median pay of $94k is:
	Data Scientist	"SaveSoft, Inc –"	"San Diego, CA"	Est. Salary $89k-$148k	The median pay of $117k is:
3.9	Consumer Data Scientist	New Balance –	"Saint Louis, MO"	Est. Salary $86k-$129k	The median pay of $106k is:
4.6	Data Scientist	CKM Advisors –	"New York, NY"	Est. Salary $88k-$139k	The median pay of $112k is:
3.7	Data Scientist	SAIC –	"Huntsville, AL"	Est. Salary $68k-$103k	The median pay of $84k is:
4.8	Data Scientist	Fabergent USA –	"Chicago, IL"	Est. Salary $72k-$109k	The median pay of $89k is:
4.9	Data Scientist	HUNTER Technical Resources –	"Atlanta, GA"		
3	Data Scientist	MeetMe –	"San Francisco, CA"	Est. Salary $132k-$185k	The median pay of $157k is:
4.2	Data Scientist	Purdue University –	"West Lafayette, IN"	Est. Salary $63k-$102k	The median pay of $82k is:
2.5	Data Scientist	AspenTech –	"Bedford, MA"	Est. Salary $98k-$138k	The median pay of $116k is:
4.2	Data Scientist	Cardinal Solutions –	"Cincinnati, OH"		
4	Data Scientist	ChefSteps –	"Seattle, WA"	Est. Salary $84k-$122k	The median pay of $101k is:
5	Data Scientist	Sotera Wireless –	"San Diego, CA"	Est. Salary $69k-$105k	The median pay of $86k is:
4	Staff/Lead Data Scientist	Chegg –	"Santa Clara, CA"	Est. Salary $113k-$159k	The median pay of $134k is:
3.5	Data Scientist	Commerce Bank –	"Saint Louis, MO"	Est. Salary $67k-$101k	The median pay of $83k is:
3.8	Data Scientist	Houzz –	"Palo Alto, CA"	Est. Salary $93k-$132k	The median pay of $110k is:
5	Data Scientist	Freebird –	"Cambridge, MA"	Est. Salary $86k-$145k	The median pay of $114k is:
3.5	Data Scientist	Carolinas HealthCare System –	"Charlotte, NC"	Est. Salary $55k-$85k	The median pay of $68k is:
2.6	Data Scientist	Carolinas Medical Center –	"Charlotte, NC"	Est. Salary $52k-$81k	The median pay of $66k is:
5	Data Scientist	ClearMotion –	"San Francisco, CA"	Est. Salary $111k-$180k	The median pay of $144k is:
5	Data Scientist	SparkCognition –	"Austin, TX"	Est. Salary $77k-$131k	The median pay of $103k is:
3.9	Data Scientist	Hello Innovation –	"Detroit, MI"	Est. Salary $60k-$97k	The median pay of $77k is:
5	Data Scientist	Bond Street –	"New York, NY"	Est. Salary $76k-$121k	The median pay of $96k is:
2.6	Data Scientist	ThredUP –	"San Francisco, CA"	Est. Salary $91k-$130k	The median pay of $109k is:
5	Data Scientist	Bond Street –	"New York, NY"	Est. Salary $76k-$121k	The median pay of $96k is:
3.1	Data Scientist	Unisys –	"Carlsbad, CA"	Est. Salary $96k-$137k	The median pay of $114k is:
5	Data Scientist	Nuna –	"San Francisco, CA"	Est. Salary $95k-$134k	The median pay of $113k is:
4.2	Data Scientist	Uber –	"Seattle, WA"	Est. Salary $94k-$136k	The median pay of $113k is:
3.5	Data Scientist	Schlumberger –	"Houston, TX"	Est. Salary $95k-$146k	The median pay of $121k is:
4.8	Data Scientist	CARTO –	"New York, NY"	Est. Salary $78k-$116k	The median pay of $95k is:
3.5	"Data Scientist - Alexa, Echo, Skills"	Amazon –	"Irvine, CA"	Est. Salary $121k-$169k	The median pay of $141k is:
3.2	Data Scientist	Mastech –	"Dallas, TX"		
4.5	Data Scientist	Pymetrics –	"New York, NY"	Est. Salary $72k-$112k	The median pay of $90k is:
3	Data Scientist	PlaceIQ –	"New York, NY"	Est. Salary $78k-$120k	The median pay of $98k is:
3.5	Senior Data Scientist	Verizon –	"Hilliard, OH"	Est. Salary $107k-$154k	The median pay of $128k is:
3.3	Data Scientist	Blue Cross of Idaho –	"Meridian, ID"	Est. Salary $63k-$94k	The median pay of $77k is:
3.4	Data Scientist	Fractal Analytics –	"Jersey City, NJ"	Est. Salary $107k-$162k	The median pay of $132k is:
3.4	Data Scientist	Huxley Associates –	"Los Angeles, CA"		
	Data Scientist	Grandata –	United States		
4.5	Data Scientist - Data Products	Acorns –	"Irvine, CA"	Est. Salary $103k-$150k	The median pay of $124k is:
3.3	Principal Data Scientist	Pitney Bowes –	"Danbury, CT"	Est. Salary $115k-$163k	The median pay of $136k is:
3.5	Data Scientist	7Park Data –	"New York, NY"	Est. Salary $76k-$121k	The median pay of $96k is:
	Data Scientist	WorldCover –	"New York, NY"	Est. Salary $90k-$151k	The median pay of $119k is:
4.7	Data Scientist	Shape Security –	"Mountain View, CA"	Est. Salary $97k-$137k	The median pay of $114k is:
3.1	Data Scientist	Gilt Groupe –	"New York, NY"	Est. Salary $116k-$175k	The median pay of $143k is:
3.8	Data Scientist	Arm Holdings –	"San Jose, CA"	Est. Salary $107k-$151k	The median pay of $126k is:
3.7	Data Scientist	FactSet –	"New York, NY"	Est. Salary $101k-$146k	The median pay of $121k is:
4.9	Data Scientist	JBCConnect –	"Fort Lauderdale, FL"	Est. Salary $69k-$105k	The median pay of $86k is:
3.5	Data Scientist	Nordstrom –	"Seattle, WA"	Est. Salary $102k-$148k	The median pay of $123k is:
	Data Scientist	Job Cloud Inc –	"New York, NY"	Est. Salary $90k-$151k	The median pay of $119k is:
4.1	Data Scientist	Ibotta –	"Denver, CO"	Est. Salary $65k-$95k	The median pay of $78k is:
3	Data Scientist	"Epitec, Inc. –"	"Warren, MI"	Est. Salary $69k-$105k	The median pay of $87k is:
4.7	Data Scientist	Cypress HCM –	"New York, NY"		
4.2	Data Scientist	Monitor Group –	"Arlington, VA"	Est. Salary $101k-$147k	The median pay of $123k is:
4	Data Scientist	"PKW Associates, Inc –"	"Windsor Mill, MD"	Est. Salary $69k-$110k	The median pay of $88k is:
3.5	Data Scientist	Florida Blue –	"Jacksonville, FL"	Est. Salary $70k-$104k	The median pay of $85k is:
	Data Scientist	–	"New York, NY"		
3.9	Data Scientist	"Axelon, Inc. –"	"New Brunswick, NJ"	Est. Salary $91k-$140k	The median pay of $114k is:
5	Data Scientist	Nauto –	"Palo Alto, CA"	Est. Salary $93k-$135k	The median pay of $112k is:
4.2	Data Scientist	True Fit –	"Woburn, MA"	Est. Salary $69k-$100k	The median pay of $83k is:
4.7	Data Analyst	"ServiceTitan, Inc. –"	"Glendale, CA"	Est. Salary $49k-$73k	The median pay of $62k is:
3.6	Data Scientist	Rose International –	"Warren, NJ"		
4.1	Data Scientist	Vectra Networks –	"Austin, TX"	Est. Salary $90k-$131k	The median pay of $108k is:
3.1	Data Scientist	Conviva –	"Foster City, CA"	Est. Salary $111k-$158k	The median pay of $134k is:
3.4	Data Scientist	Amerit Consulting –	"Carlsbad, CA"	Est. Salary $124k-$190k	The median pay of $155k is:
3.6	Data Scientist	Dia&Co –	"New York, NY"	Est. Salary $90k-$151k	The median pay of $119k is:
3.2	Data Scientist	United Technologies Corporation –	"Charlotte, NC"	Est. Salary $70k-$107k	The median pay of $86k is:
3.3	Data Scientist	The Hartford –	"Hartford, CT"	Est. Salary $75k-$111k	The median pay of $91k is:
3	Data Scientist	WeWork –	"New York, NY"	Est. Salary $92k-$135k	The median pay of $112k is:
3.8	Data Scientist	AmeriHome Mortgage Company –	"Woodland Hills, CA"	Est. Salary $79k-$124k	The median pay of $99k is:
